Критерии,ВУЗы,,,,,,,,,,,
,Управление ИТ-проектами,4 курс — 4 ЗЕТ,Программирование Java,2 курс — 4 ЗЕТ,Методы оптимизации,3 курс — 6 ЗЕТ,Архитектура вычислительных систем,2 курс — 3 ЗЕТ,Электротехника,2 курс — 4 ЗЕТ,Физика,2 курс — 10 ЗЕТ
,Обеспечение качества и тестирование,3 курс — 4 ЗЕТ,Функциональное программирование,2 курс — 3 ЗЕТ,Физика,2 курс — 7 ЗЕТ,Базы данных,2 курс — 2 ЗЕТ,Методы оптимизации,2 курс — 4 ЗЕТ,Информатика,2 курс — 5 ЗЕТ
,Конструирование программного обеспечения,3 курс — 4 ЗЕТ,Компьютерные сети,2 курс — 3 ЗЕТ,Основы информационных систем,1 курс — 3 ЗЕТ,Теория вероятностей,3 курс — 3 ЗЕТ,Операционные системы,2 курс — 4 ЗЕТ,Программирование вычислений,2 курс — 5 ЗЕТ
,Проектирование архитектуры программных систем,4 курс — 4 ЗЕТ,Системы технической документации,4 курс — 6 ЗЕТ,"Основы вычислительных систем, сетей и телекоммуникаций",3 курс — 2 ЗЕТ,Численные методы,3 курс — 6 ЗЕТ,Безопасность жизнедеятельности,2 курс — 4 ЗЕТ,Методы построения и анализа алгоритмов,3 курс — 4 ЗЕТ
,Машинное обучение,4 курс — 5 ЗЕТ,Управление ИТ-проектами,4 курс — 7 ЗЕТ,Схемотехника и организация вычислительных систем,2 курс — 3 ЗЕТ,Исследование операций,4 курс — 5 ЗЕТ,Правоведение,2 курс — 3 ЗЕТ,Дифференциальные уравнения,2 курс — 3 ЗЕТ
,Технологии программирования,1 курс — 4 ЗЕТ,Soft Skills,4 курс — 7 ЗЕТ,Операционные системы,1 курс — 3 ЗЕТ,Основы права,2 курс — 2 ЗЕТ,Программирование,1 курс — 9 ЗЕТ,Теория вероятностей и математическая статистика,2 курс — 8 ЗЕТ
,Ряды и кратные интегралы,2 курс — 4 ЗЕТ,Введение в информационную безопасность,3 курс — 3 ЗЕТ,Программирование (С),1 курс — 2 ЗЕТ,Экономика. Основы предпринимательской деятельности,1 курс — 2 ЗЕТ,Основы информационной безопасности,2 курс — 3 ЗЕТ,Правоведение,2 курс — 3 ЗЕТ
,Дополнительные главы линейной алгебры,2 курс — 4 ЗЕТ,Программирование на Java (продвинутый уровень),2 курс — 3 ЗЕТ (выборное),Интеллектуальные информационные системы,2 курс — 4 ЗЕТ,Дополнительные главы математического анализа,2 курс — 3 ЗЕТ,Базы данных,3 курс — 5 ЗЕТ,Численные методы,3 курс — 8 ЗЕТ
,Алгоритмы и структуры данных,1 курс — 8 ЗЕТ,Углубленное программирование на C++,2 курс — 3 ЗЕТ (выборное),Базы данных,1 курс — 3 ЗЕТ,Вероятностные модели,2 курс — 2 ЗЕТ,Информационные сети,2 курс — 7 ЗЕТ,Уравнения математической физики,3 курс — 11 ЗЕТ
,Программирование C/C++,1 курс — 4 ЗЕТ,Научно-исследовательский семинар,2 курс — 3 ЗЕТ,Физическая культура и спорт,1 курс — 2 ЗЕТ,Теория вероятностей и математическая статистика,3 курс — 4 ЗЕТ,Основы личностной и коммуникативной культуры,1 курс — 3 ЗЕТ,Методы оптимизации,3 курс — 3 ЗЕТ
,Разработка и анализ требований,3 курс — 3 ЗЕТ,Научно-исследовательский семинар (на иностранном языке),3 курс — 3 ЗЕТ,Экономика,4 курс — 2 ЗЕТ,Функциональный анализ,3 курс — 4 ЗЕТ,Культура научной и деловой речи,1 курс — 1 ЗЕТ (выборное),Технологии баз данных,4 курс — 4 ЗЕТ
,Введение в рекомендательные системы,3 курс — 4 ЗЕТ,Проектный семинар (на иностранном языке),4 курс — 3 ЗЕТ,Практикум по математическому анализу,1 курс — 4 ЗЕТ,Комплексный анализ,3 курс — 4 ЗЕТ,Культура и личность,1 курс — 1 ЗЕТ (выборное),Основы личностной и коммуникативной культуры,1 курс — 3 ЗЕТ
,Машинное обучение на графах,4 курс — 6 ЗЕТ,Имитационное моделирование,"3 курс — 3 ЗЕТ (выборное, специализация 1)",Введение в проектную деятельность,1 курс — 2 ЗЕТ,Психология и педагогика,2 курс — 2 ЗЕТ,Управление проектами,4 курс — 4 ЗЕТ,Культура научной и деловой речи,1 курс — 1 ЗЕТ (выборное)
,Обработка естественного языка,3 курс — 4 ЗЕТ,Теория организации,"3 курс — 3 ЗЕТ (выборное, специализация 1)",Практикум по алгебре и геометрии,1 курс — 6 ЗЕТ,Уравнения математической физики,3 курс — 8 ЗЕТ,Разработка программных приложений и WEB-программирование,3 курс — 7 ЗЕТ,Культура и личность,1 курс — 1 ЗЕТ (выборное)
,Основы компьютерного зрения. Библиотека OpenCV (преподается на иностранном языке),3 курс — 3 ЗЕТ,Архитектура предприятия,"4 курс — 3 ЗЕТ (выборное, специализация 1)",Основы российской государственности,1 курс — 2 ЗЕТ,Практикум по математическому анализу,1 курс — 3 ЗЕТ,Технологии и методы программирования,2 курс — 4 ЗЕТ,Операционные системы и компьютерные сети,2 курс — 6 ЗЕТ
,Рекомендательные системы +,4 курс — 5 ЗЕТ,Предпринимательство,"3 курс — 3 ЗЕТ (выборное, специализация 1)",Дифференциальные уравнения,2 курс — 7 ЗЕТ,Введение в проектную деятельность,1 курс — 2 ЗЕТ,"Интерфейс ""Человек - электронные вычислительные машины""",4 курс — 3 ЗЕТ,Языки программирования и методы трансляции,3 курс — 5 ЗЕТ
,Практические аспекты применения искусственного интеллекта,4 курс — 4 ЗЕТ,Управление требованиями и проектирование информационных систем (на иностранном языке),"3 курс — 3 ЗЕТ (выборное, специализация 1)",Теория автоматов и формальные грамматики,2 курс — 4 ЗЕТ,Основы теории вычислений,2 курс — 3 ЗЕТ,Компьютерная графика,2 курс — 6 ЗЕТ,Введение в искусственный интеллект и логическое программирование,3 курс — 3 ЗЕТ
,Процессы разработки и бизнес-аспекты искусственного интеллекта,4 курс — 6 ЗЕТ,Введение в информационную безопасность,"3 курс — 3 ЗЕТ (выборное, специализация 1)",Основы алгоритмизации,1 курс — 4 ЗЕТ,Практикум по  дополнительным главам математического анализа,2 курс — 2 ЗЕТ,Вычислительная математика,2 курс — 4 ЗЕТ,Управление ресурсами в вычислительных системах,3 курс — 3 ЗЕТ
,Введение в сетевой анализ и машинное обучение на графах,3 курс — 4 ЗЕТ,Теория и практика тестирования ИС (на иностранном языке),"4 курс — 3 ЗЕТ (выборное, специализация 1)",Прикладные задачи принятия решения,3 курс — 3 ЗЕТ,Основы российской государственности,1 курс — 2 ЗЕТ,Периферийные устройства информационных систем,4 курс — 3 ЗЕТ,Математическое моделирование управляемых систем,4 курс — 4 ЗЕТ
,"Научно-исследовательский семинар ""Введение в специальность""",1 курс — 3 ЗЕТ,Управление качеством ИС,"4 курс — 4 ЗЕТ (выборное, специализация 1)",Низкоуровневое программирование,4 курс — 4 ЗЕТ,Линейное программирование,3 курс — 2 ЗЕТ,Предметноориентированные информационные системы,3 курс — 4 ЗЕТ,Математические модели в естествознании,3 курс — 4 ЗЕТ
,"Научно-исследовательский семинар ""Численные методы""",2 курс — 3 ЗЕТ,Разработка на бизнес-ориентированных языках программирования и Low-Code системы,"4 курс — 3 ЗЕТ (выборное, специализация 1)",Шаблоны проектирования,4 курс — 5 ЗЕТ,Физика,3 курс — 4 ЗЕТ,Архитектура средств вычислительной техники,3 курс — 4 ЗЕТ,Современные технологии программирования,4 курс — 4 ЗЕТ
,"Научно-исследовательский семинар ""Дифференциальные уравнения""",2 курс — 3 ЗЕТ,Финансовый и управленческий учет,"3 курс — 3 ЗЕТ (выборное, специализация 1)",Компьютерное геометрическое моделирование,3 курс — 2 ЗЕТ,Теория управления,3 курс — 14 ЗЕТ,Программная инженерия,4 курс — 4 ЗЕТ,Нейросети,4 курс — 3 ЗЕТ (выборное)
,"Научно-исследовательский семинар ""Введение в машинное обучение""",2 курс — 3 ЗЕТ,Электронные платежные средства (на иностранном языке),"4 курс — 3 ЗЕТ (выборное, специализация 1)",Логические основы электронно-вычислительных машин,2 курс — 2 ЗЕТ,Методы оптимизации,4 курс — 5 ЗЕТ,Теория формальных языков и компиляторов,3 курс — 4 ЗЕТ,Интеллектуальные системы,4 курс — 3 ЗЕТ (выборное)
,"Научно-исследовательский семинар ""Введение в компьютерное зрение""",2 курс — 3 ЗЕТ,Эконометрика,"3 курс — 3 ЗЕТ (выборное, специализация 1)",Разработка Windows приложений,2 курс — 3 ЗЕТ,Математическая логика,4 курс — 4 ЗЕТ,Методы анализа данных,4 курс — 4 ЗЕТ,Цифровые модели и оценивание параметров,4 курс — 4 ЗЕТ (выборное)
,"Научно-практический семинар ""Цифровая грамотность""",1 курс — 2 ЗЕТ,Теория и история менеджмента,"3 курс — 3 ЗЕТ (выборное, специализация 1)",Высокоуровневые методы программирования,3 курс — 3 ЗЕТ,Термодинамика,4 курс — 3 ЗЕТ,Системы искусственного интеллекта и машинное обучение,4 курс — 4 ЗЕТ,Статистические методы анализа данных,4 курс — 4 ЗЕТ (выборное)
,Учебная практика,2 курс — 1 ЗЕТ,Стратегический менеджмент,"3 курс — 3 ЗЕТ (выборное, специализация 1)",Распознавание образов,4 курс — 4 ЗЕТ,Системный анализ,4 курс — 2 ЗЕТ,Исследование операций,3 курс — 5 ЗЕТ,Метод конечных элементов,4 курс — 5 ЗЕТ (выборное)
,Производственная практика,3 курс — 5 ЗЕТ,Производственный менеджмент,"4 курс — 3 ЗЕТ (выборное, специализация 1)",Моделирование информационных процессов и систем,3 курс — 4 ЗЕТ,Проектная деятельность в сфере прикладной математики и информатики,3 курс — 2 ЗЕТ,Основы теории управления,3 курс — 4 ЗЕТ,Планирование и анализ эксперимента,4 курс — 5 ЗЕТ (выборное)
,Преддипломная практика,4 курс — 6 ЗЕТ,Дизайн-мышление,"4 курс — 3 ЗЕТ (выборное, специализация 1)",Объектно-ориентированное программирование,2 курс — 4 ЗЕТ,Практикум по численным методам,3 курс — 3 ЗЕТ,Моделирование,2 курс — 3 ЗЕТ,Компьютерная графика,4 курс — 4 ЗЕТ (выборное)
,Курсовая работа,2 курс — 3 ЗЕТ,Моделирование бизнес-процессов,"3 курс — 3 ЗЕТ (выборное, специализация 1)","WEB-технологии, web-приложения",3 курс — 3 ЗЕТ,Введение в специальность,2 курс — 3 ЗЕТ,Электронный бизнес,3 курс — 3 ЗЕТ,Статистический анализ нечисловых данных,4 курс — 4 ЗЕТ (выборное)
,Курсовая исследовательская работа,3 курс — 3 ЗЕТ,Математический анализ 2,"3 курс — 4 ЗЕТ (выборное, специализация 2)",Информационная безопасность,4 курс — 2 ЗЕТ,Общая физика (выборное),2 курс — 4 ЗЕТ,Системный анализ,4 курс — 4 ЗЕТ,Элементы современных компьютеров и технологии программирования,4 курс — 3 ЗЕТ (выборное)
